neg,neg,neg,neg,neg,neg,00kHBo4ijqUbEC6L5PgkOd2tLoEtE52B_pp.txt,2015,01
neg,neg,neg,pos,neg,neg,01jQr5nmTgXl9m5sbWlxCYgyzObYSZFn_pp.txt,2015,01
pos,pos,neg,pos,pos,pos,01pbGZEDctyyNbYk0wOar8hMtQPThiUG_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,07we5iFkhvMWlgyV4Z2v6d3HvILDeaNF_pp.txt,2015,01
pos,pos,pos,pos,pos,pos,092JmCfUWuE3EUDv2r7CnmQcqJ8YNgZx_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,0DFgMRT8ycYZz6dUj12o31kaUzrgxpaM_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,0e9Rq65fO1b64TMtFNDD6fWCq6ZPDATK_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,0pms3XwtpnlCaBH0kE9YT4JVfezIcJdW_pp.txt,2015,01
pos,pos,pos,pos,pos,pos,0v5fHLdzDNyL8EUgs30M9zIeg7ZOlfBz_pp.txt,2015,01
pos,neg,neg,pos,neg,neg,0WvA9unuzGaOgvUkZnOj4wMXj9vZnd7Z_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,152Fc1WkFm81DIgBY6bgmpw8XAOHmF7b_pp.txt,2015,01
pos,pos,pos,pos,pos,pos,18RN0CpcJK0JuPyqo5w7XiAyKz5i4euO_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,1B3rvUXFMmb4RBmJCOZMGM9l4Bqi8XDY_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,1FKN4cltmZhFKOjT3bgjaAIX5sHHCwx7_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,1lA2Ouj2jHR1q9VshbinVoj2fpeP8Abj_pp.txt,2015,01
pos,pos,pos,pos,pos,pos,1MrFEeL8aIP1oxZ8g1qX51LxmS4F6qoN_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,1oljDzKJJDUl1dRi3UdwWPEsPSanPNQf_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,1RhkuCcghy5rEbHGZ40N425ucOrLyZLc_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,20ez5QAykqSAYdMrUsqSLMBwgX55NfWk_pp.txt,2015,01
pos,pos,pos,pos,pos,pos,24HaKxDTegTUlvEXw41o045A8DxmWAYT_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,25j51sN5uNONwCj2TXEE9dS0Xf4TyOpt_pp.txt,2015,01
pos,pos,pos,pos,neg,pos,26l04Ot00WQ53Nlv9oH96KWU10SdEFDi_pp.txt,2015,01
pos,neg,neg,pos,neg,neg,26waSlqfx1gHc8iwTU2lwDJTCKvcspcs_pp.txt,2015,01
pos,pos,pos,pos,neg,pos,29Mp8Y4pfn7DK9fxCQjydSkorENURFeJ_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,2B73RxxNZLxcJ0Lrr3z7aD4Uvzip5nuc_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,2gL39pyVH6ETlkpWpWdBJifXq98VTasm_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,2qkHxkztZENviPL3QPIOCuuTwc74b3xC_pp.txt,2015,01
pos,pos,pos,pos,pos,pos,2R4fhrwKVFztciYteza1S22t1YxLLSOg_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,2s7jBqIR5CvgJUbu4IVN7oeaOZCkz5mF_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,2vOrc1hZjsPnuz9gbibmcpH49LpzvSwX_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,2ZtA6CIZz8NvFgJ98qFVpHAxhIf8qoAC_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,32FIu2bwCNaWwpYSljW7tsr5gUbKU4zn_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,3ET3Oy7WnjbF5GNEceltoMFIbeUnHNX9_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,3JlqOg9NpcBeI6kurBm2R3rF3UdeUbNu_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,3kQsaBbb0zmGHU2JBlFoqUJbWizeZQCT_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,3ljsaku7kSYK3STl3lRPedvih2nF6REz_pp.txt,2015,01
pos,pos,pos,pos,pos,pos,3lRfpNBSOdmvlo8Z6XJqVNHC1drlS1pq_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,3Ma8ppCWtNYJI1Kk6fwr5axl0AlGl2np_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,42iYlbIT6WtsUJptjIC9bboOnPKWuA31_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,43TM5V4mnYatURpPfklzE7NpCqGUZaH3_pp.txt,2015,01
pos,pos,pos,pos,pos,pos,47PkQC4J6cI3g3yf7jRVXO2yQsZt9vNc_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,48Foff26URdGEDUBettxJ82FmSwRcGUs_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,4cK4C27WpxZ1Z303ZbeOkY8UqyXFEgnF_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,4F3TG2q16UaRtA9SMjNaonea16UxoK6O_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,4ha8lTHBeAz0xNWLOkrMV51ZEKo3JRaQ_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,4JcDIdvUnNfm7HVcyOAnKbNQ5PzXrht7_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,4o9pFZd5jXqk4tLvwjHEH4XC7ZAsmRQ3_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,4VGeocm0OjqaXnsL17Y53f8zhk02TivM_pp.txt,2015,01
pos,pos,pos,pos,pos,pos,4XUjpWvGxur8yrIrWUTtUzqhlXsODovT_pp.txt,2015,01
